id,address,latitude,longitude
141,"1008 Bathurst St Toronto, ON M5R 3G7",43.6707043,-79.4136707
142,"325 Bamburgh Circle, Unit A107 Toronto, ON M1W 3Y1",43.8144172,-79.323702
143,"90 Littles Rd Toronto, ON M1B 5E2",43.8184483,-79.2053717
144,"1774 Queen St E Toronto, ON M4L 1G7",43.667738,-79.3103039
145,"789 Yonge St Toronto, ON M4W 2G8",43.6717923,-79.3868129
147,"245 Eglinton Ave E, 2d Fl Toronto, ON M4P 3B7",43.7081764,-79.38957
148,"Metro Hall 55 John St, 10th Fl Toronto, ON M5V 3C6",43.6460888,-79.388966
150,"3570 Victoria Park Ave, Suite 204 Toronto, ON M2H 3S2",43.8056688,-79.3388986
151,"5075 Yonge St, Suite 401 Toronto, ON M2N 6C6",43.7678675,-79.4120987
152,"202 Markham Rd Toronto, ON M1J 3C2",43.7438391,-79.2196808
153,"115 The Esplanade Toronto, ON M5E 1Y7",43.6476918,-79.371835
155,"100 Sheppard Ave E, Suite 505 Toronto, ON M2N 6N5",43.7632483,-79.4054146
156,"Programme Carrefour des Immigrants FrancoQueer 20 Victoria St, 4th Flr Toronto, ON M5C 2N8",43.6499903,-79.3772003
157,"2350 Finch Ave W, Unit D Toronto, ON M9M 2C7",43.7519976,-79.5436905
158,"Casa Abruzzo 340 Falstaff Ave, Suite 202 Toronto, ON M6L 3E8",43.720539,-79.4829177
159,"4700 Bathurst St Toronto, ON M2R 1W8",43.7660604,-79.441512
160,"16 Spadina Rd Toronto, ON M5R 2S7",43.6681907,-79.4049466
161,"30 College St Toronto, ON M5G 1K2",43.6612437,-79.3844077
162,"191 Gerrard St E Toronto, ON M5A 2E5",43.660901,-79.3725585
163,"Parliament Street Public Library 269 Gerrard St E, 2nd Fl Toronto, ON M5A 2G3",43.6618109,-79.367964
164,"11A Glen Watford Dr, Unit 220 Toronto, ON M1S 2B8",43.7865148,-79.2755492
165,"745 Danforth Ave, Suite 402 Toronto, ON M4J 1L4",43.6791334,-79.3425512
166,"Corvette Junior Public School 30 Corvette Ave Toronto, ON M1K 3G2",43.7261541,-79.2621616
167,"Rexdale Community Hub 21 Panorama Court, Suite 14 Toronto, ON M9V 4E3",43.7465251,-79.5814981
168,"90 Richmond St E, Suite 302 Toronto, ON M5C 1P1",43.6527302,-79.3746941
169,"21 Hendon Ave Toronto, ON M2M 4G8",43.7811893,-79.4174606
170,"1860 Wilson Ave, Suite 400 Toronto, ON M9M 3A7",43.7178923,-79.5235853
171,"Head Office 345 Carlingview Dr Toronto, ON M9W 6N9",43.6941068,-79.5979214
172,"461 Cherry St Toronto, ON M5A 0H7",43.6532744,-79.3579292
173,"75 Front St E, Suite 308 Toronto, ON M5E 1V9",43.6486659,-79.3729017
174,"180 Dundas St W, Suite 2305 Toronto, ON M5G 1Z8",43.6554098,-79.3863756
176,"2180 Yonge St Toronto, ON M4S 2B9",43.7046863,-79.3982022
177,"Lawrence Square Mall 700 Lawrence Ave W, Suite 350 Toronto, ON M6A 3B4",43.7169556,-79.4469327
178,"70 Martin Ross Ave Toronto, ON M3J 2L4",43.7741495,-79.4748378
179,"110 Eglinton Ave W, Suite 200 Toronto, ON M4R 1A3",43.7063155,-79.4017645
